time,open,high,low,close,tick_volume,spread
2026-07-18 10:15:00,1.085,1.08528,1.08453,1.085,1042,0.000126
2026-07-18 10:30:00,1.085,1.08666,1.08435,1.08664,1124,0.000127
2026-07-18 10:45:00,1.08664,1.08818,1.086,1.08748,1170,0.000156
2026-07-18 11:00:00,1.08748,1.08811,1.08686,1.08748,1465,0.000135
2026-07-18 11:15:00,1.08748,1.08886,1.08708,1.08804,580,0.000124
2026-07-18 11:30:00,1.08804,1.08906,1.08783,1.08846,1333,0.000125
2026-07-18 11:45:00,1.08846,1.0893,1.08844,1.08903,1528,0.00015
2026-07-18 12:00:00,1.08903,1.08947,1.08828,1.08918,1203,0.000129
2026-07-18 12:15:00,1.08918,1.09159,1.08915,1.09106,1051,0.000155
2026-07-18 12:30:00,1.09106,1.0916,1.09082,1.09134,1367,0.000149
2026-07-18 12:45:00,1.09134,1.09161,1.08996,1.09048,1033,0.000137
2026-07-18 13:00:00,1.09048,1.09107,1.0897,1.09025,1294,0.000127
2026-07-18 13:15:00,1.09025,1.0905,1.08868,1.08928,879,0.000126
2026-07-18 13:30:00,1.08928,1.08939,1.08847,1.08904,1131,0.000137
2026-07-18 13:45:00,1.08904,1.08944,1.0886,1.08889,1006,0.00015
2026-07-18 14:00:00,1.08889,1.08947,1.08769,1.08855,1585,0.000129
2026-07-18 14:15:00,1.08855,1.08905,1.08813,1.08887,1558,0.000133
2026-07-18 14:30:00,1.08887,1.08948,1.0884,1.08901,1139,0.000155
2026-07-18 14:45:00,1.08901,1.08966,1.08819,1.08833,1447,0.000154
2026-07-18 15:00:00,1.08833,1.09008,1.08832,1.08962,908,0.000144
2026-07-18 15:15:00,1.08962,1.08974,1.08943,1.08965,1438,0.000127
2026-07-18 15:30:00,1.08965,1.09008,1.08909,1.08913,1033,0.000132
2026-07-18 15:45:00,1.08913,1.0898,1.08886,1.08956,1171,0.000141
2026-07-18 16:00:00,1.08956,1.09053,1.08905,1.08986,1386,0.000138
2026-07-18 16:15:00,1.08986,1.09105,1.08907,1.09072,1047,0.000131
2026-07-18 16:30:00,1.09072,1.09258,1.09025,1.09213,1758,0.000124
2026-07-18 16:45:00,1.09213,1.09362,1.09198,1.09306,1339,0.000135
2026-07-18 17:00:00,1.09306,1.09336,1.09214,1.09262,962,0.000142
2026-07-18 17:15:00,1.09262,1.09319,1.09214,1.09258,932,0.000122
2026-07-18 17:30:00,1.09258,1.09423,1.09248,1.09351,1119,0.00014
2026-07-18 17:45:00,1.09351,1.09402,1.09162,1.09195,1544,0.000133
2026-07-18 18:00:00,1.09195,1.09257,1.09162,1.09208,1560,0.000129
2026-07-18 18:15:00,1.09208,1.09314,1.09097,1.09133,1353,0.000138
2026-07-18 18:30:00,1.09133,1.09187,1.09063,1.09146,1018,0.000144
