time,open,high,low,close,tick_volume,spread
2026-06-11 11:00:00,155.5,155.56,155.43,155.5,1211,0.016397
2026-06-11 12:00:00,155.5,155.56,155.23,155.38,1023,0.01564
2026-06-11 13:00:00,155.38,155.91,155.32,155.86,1482,0.016511
2026-06-11 14:00:00,155.86,155.88,155.63,155.72,1502,0.014774
2026-06-11 15:00:00,155.72,155.91,155.66,155.86,1660,0.014897
2026-06-11 16:00:00,155.86,155.96,155.64,155.74,1141,0.014915
2026-06-11 17:00:00,155.74,156.38,155.69,156.3,1172,0.014889
2026-06-11 18:00:00,156.3,156.5,156.23,156.32,1170,0.016201
2026-06-11 19:00:00,156.32,156.58,156.25,156.47,2349,0.014034
2026-06-11 20:00:00,156.47,157.03,156.36,156.94,1547,0.014086
2026-06-11 21:00:00,156.94,157.08,156.88,156.98,1277,0.016798
2026-06-11 22:00:00,156.98,157.02,156.78,156.86,1124,0.016331
2026-06-11 23:00:00,156.86,156.97,156.73,156.9,1917,0.016403
2026-06-12 00:00:00,156.9,156.99,156.71,156.88,1727,0.015759
2026-06-12 01:00:00,156.88,156.96,156.58,156.66,1366,0.014126
2026-06-12 02:00:00,156.66,156.79,156.5,156.52,1650,0.015545
2026-06-12 03:00:00,156.52,156.84,156.48,156.74,1557,0.014578
2026-06-12 04:00:00,156.74,157.11,156.64,157.03,1616,0.014361
2026-06-12 05:00:00,157.03,157.22,156.81,157.15,1099,0.014201
2026-06-12 06:00:00,157.15,157.58,157.04,157.49,1490,0.014546
2026-06-12 07:00:00,157.49,157.59,157.42,157.51,1119,0.014977
2026-06-12 08:00:00,157.51,157.65,157.36,157.43,1465,0.016648
2026-06-12 09:00:00,157.43,157.71,157.38,157.63,1191,0.015888
2026-06-12 10:00:00,157.63,158.06,157.56,158.0,1701,0.015866
2026-06-12 11:00:00,158.0,158.09,157.82,157.89,1998,0.015991
2026-06-12 12:00:00,157.89,158.51,157.79,158.4,1869,0.015492
2026-06-12 13:00:00,158.4,159.1,158.31,159.05,1304,0.015789
2026-06-12 14:00:00,159.05,159.16,158.58,158.64,1765,0.016506
2026-06-12 15:00:00,158.64,158.7,158.22,158.28,999,0.015599
2026-06-12 16:00:00,158.28,158.93,158.13,158.83,1698,0.016289
2026-06-12 17:00:00,158.83,159.21,158.69,159.09,1307,0.016119
2026-06-12 18:00:00,159.09,159.28,158.97,159.24,1635,0.015553
2026-06-12 19:00:00,159.24,159.42,159.15,159.39,1886,0.015361
2026-06-12 20:00:00,159.39,159.45,159.23,159.38,1325,0.014596
2026-06-12 21:00:00,159.38,159.5,159.02,159.16,1491,0.014995
2026-06-12 22:00:00,159.16,159.7,159.08,159.53,1350,0.014263
2026-06-12 23:00:00,159.53,159.64,159.47,159.64,1849,0.015995
2026-06-13 00:00:00,159.64,159.76,159.53,159.69,1335,0.015065
2026-06-13 01:00:00,159.69,160.1,159.54,159.97,1536,0.016376
2026-06-13 02:00:00,159.97,160.47,159.83,160.34,1538,0.014741
2026-06-13 03:00:00,160.34,160.83,160.27,160.66,1196,0.014374
2026-06-13 04:00:00,160.66,160.95,160.53,160.84,1316,0.015672
2026-06-13 05:00:00,160.84,161.3,160.69,161.22,1006,0.014704
2026-06-13 06:00:00,161.22,161.75,161.14,161.7,1049,0.014117
2026-06-13 07:00:00,161.7,161.89,161.61,161.83,1413,0.015811
2026-06-13 08:00:00,161.83,162.03,161.71,162.01,2314,0.014269
2026-06-13 09:00:00,162.01,162.11,161.82,161.91,1251,0.015065
2026-06-13 10:00:00,161.91,162.14,161.76,162.07,2060,0.016668
2026-06-13 11:00:00,162.07,162.28,162.0,162.2,822,0.015653
2026-06-13 12:00:00,162.2,162.22,161.94,162.02,1814,0.014535
2026-06-13 13:00:00,162.02,162.26,161.95,162.2,1653,0.015727
2026-06-13 14:00:00,162.2,162.49,162.06,162.37,1779,0.014551
2026-06-13 15:00:00,162.37,162.47,162.23,162.31,1625,0.015077
2026-06-13 16:00:00,162.31,162.93,162.26,162.86,1659,0.016131
2026-06-13 17:00:00,162.86,163.3,162.73,163.12,1958,0.016408
2026-06-13 18:00:00,163.12,163.21,162.99,163.12,681,0.01451
2026-06-13 19:00:00,163.12,163.4,162.96,163.34,1607,0.014896
2026-06-13 20:00:00,163.34,163.52,163.23,163.33,1097,0.016419
2026-06-13 21:00:00,163.33,163.56,163.31,163.5,1771,0.015371
2026-06-13 22:00:00,163.5,163.99,163.34,163.85,2275,0.014757
2026-06-13 23:00:00,163.85,164.05,163.66,163.99,2161,0.015923
2026-06-14 00:00:00,163.99,164.07,163.88,163.93,1317,0.016276
2026-06-14 01:00:00,163.93,164.0,163.77,163.84,1883,0.016305
2026-06-14 02:00:00,163.84,163.94,163.59,163.7,2111,0.014411
2026-06-14 03:00:00,163.7,163.78,163.5,163.62,1882,0.01611
2026-06-14 04:00:00,163.62,164.12,163.52,163.98,1260,0.01645
2026-06-14 05:00:00,163.98,164.43,163.9,164.26,804,0.016396
2026-06-14 06:00:00,164.26,164.5,164.16,164.38,1061,0.015005
2026-06-14 07:00:00,164.38,164.5,163.82,163.93,1977,0.016218
2026-06-14 08:00:00,163.93,164.02,163.46,163.56,1365,0.014816
2026-06-14 09:00:00,163.56,163.96,163.5,163.76,2105,0.016056
2026-06-14 10:00:00,163.76,163.86,163.71,163.73,1699,0.014334
2026-06-14 11:00:00,163.73,164.46,163.72,164.37,2166,0.015579
2026-06-14 12:00:00,164.37,165.1,164.26,165.0,1533,0.015391
2026-06-14 13:00:00,165.0,165.57,164.88,165.5,1433,0.015312
2026-06-14 14:00:00,165.5,165.96,165.37,165.8,1331,0.014506
2026-06-14 15:00:00,165.8,165.94,165.64,165.86,1258,0.014966
2026-06-14 16:00:00,165.86,166.73,165.84,166.66,1330,0.015194
2026-06-14 17:00:00,166.66,166.73,166.12,166.14,1646,0.016098
2026-06-14 18:00:00,166.14,166.5,166.02,166.43,1032,0.016181
2026-06-14 19:00:00,166.43,166.73,166.34,166.57,2430,0.016573
2026-06-14 20:00:00,166.57,166.68,166.3,166.44,1712,0.014769
2026-06-14 21:00:00,166.44,166.61,166.42,166.53,1003,0.015302
2026-06-14 22:00:00,166.53,166.62,166.5,166.57,1557,0.016221
2026-06-14 23:00:00,166.57,166.75,166.39,166.43,1323,0.016415
2026-06-15 00:00:00,166.43,166.58,166.11,166.18,1768,0.01407
