time,open,high,low,close,tick_volume,spread
2026-07-18 22:15:00,155.5,155.57,155.48,155.5,617,0.016436
2026-07-18 22:30:00,155.5,155.55,155.43,155.53,1766,0.016229
2026-07-18 22:45:00,155.53,155.73,155.47,155.68,1577,0.014392
2026-07-18 23:00:00,155.68,155.87,155.63,155.83,1887,0.016087
2026-07-18 23:15:00,155.83,155.88,155.74,155.88,1973,0.016729
2026-07-18 23:30:00,155.88,156.04,155.81,156.02,1744,0.0146
2026-07-18 23:45:00,156.02,156.19,155.97,156.15,1748,0.01568
2026-07-19 00:00:00,156.15,156.37,156.14,156.3,1234,0.014488
2026-07-19 00:15:00,156.3,156.36,156.12,156.19,2352,0.015587
2026-07-19 00:30:00,156.19,156.26,156.06,156.11,1743,0.01601
2026-07-19 00:45:00,156.11,156.14,155.96,156.04,877,0.014832
2026-07-19 01:00:00,156.04,156.12,155.99,156.07,1084,0.015448
2026-07-19 01:15:00,156.07,156.09,156.0,156.04,1498,0.014443
2026-07-19 01:30:00,156.04,156.16,156.02,156.1,1266,0.015239
2026-07-19 01:45:00,156.1,156.13,156.05,156.07,1716,0.014113
2026-07-19 02:00:00,156.07,156.14,155.95,156.03,1629,0.016627
2026-07-19 02:15:00,156.03,156.24,155.98,156.14,1005,0.014463
2026-07-19 02:30:00,156.14,156.15,156.04,156.1,2112,0.014978
2026-07-19 02:45:00,156.1,156.14,155.96,156.03,1034,0.015272
2026-07-19 03:00:00,156.03,156.08,155.87,155.9,1390,0.01409
2026-07-19 03:15:00,155.9,156.01,155.85,155.94,825,0.016319
2026-07-19 03:30:00,155.94,156.02,155.9,155.99,1359,0.015929
2026-07-19 03:45:00,155.99,156.02,155.93,155.93,2057,0.015386
2026-07-19 04:00:00,155.93,155.95,155.82,155.88,1559,0.0143
2026-07-19 04:15:00,155.88,156.1,155.82,156.07,1501,0.016462
2026-07-19 04:30:00,156.07,156.27,156.07,156.22,2058,0.014627
2026-07-19 04:45:00,156.22,156.49,156.18,156.44,1039,0.015521
2026-07-19 05:00:00,156.44,156.44,156.34,156.39,960,0.014909
2026-07-19 05:15:00,156.39,156.53,156.28,156.47,1126,0.016045
2026-07-19 05:30:00,156.47,156.7,156.44,156.66,1317,0.016087
2026-07-19 05:45:00,156.66,156.8,156.59,156.79,1318,0.016547
2026-07-19 06:00:00,156.79,157.05,156.77,157.01,1440,0.015257
2026-07-19 06:15:00,157.01,157.06,156.99,157.0,1384,0.015357
2026-07-19 06:30:00,157.0,157.04,156.89,156.93,1053,0.016
2026-07-19 06:45:00,156.93,157.06,156.87,157.03,1882,0.014806
2026-07-19 07:00:00,157.03,157.11,156.93,157.09,1916,0.015177
2026-07-19 07:15:00,157.09,157.23,157.09,157.16,908,0.014144
2026-07-19 07:30:00,157.16,157.31,157.1,157.25,1273,0.014811
2026-07-19 07:45:00,157.25,157.43,157.2,157.38,1247,0.016203
2026-07-19 08:00:00,157.38,157.44,157.24,157.36,1083,0.015011
2026-07-19 08:15:00,157.36,157.37,157.1,157.19,637,0.014435
2026-07-19 08:30:00,157.19,157.25,157.09,157.13,1020,0.015227
2026-07-19 08:45:00,157.13,157.2,157.05,157.11,1585,0.015479
2026-07-19 09:00:00,157.11,157.14,157.08,157.12,815,0.014388
2026-07-19 09:15:00,157.12,157.28,157.06,157.2,1313,0.014781
2026-07-19 09:30:00,157.2,157.25,157.17,157.23,1301,0.015619
2026-07-19 09:45:00,157.23,157.29,157.19,157.23,1593,0.016033
2026-07-19 10:00:00,157.23,157.33,157.18,157.29,1092,0.016547
2026-07-19 10:15:00,157.29,157.41,157.25,157.36,1344,0.014595
2026-07-19 10:30:00,157.36,157.41,157.25,157.29,2026,0.01625
2026-07-19 10:45:00,157.29,157.42,157.23,157.35,2072,0.014635
2026-07-19 11:00:00,157.35,157.4,157.3,157.39,1588,0.015447
2026-07-19 11:15:00,157.39,157.43,157.36,157.4,1584,0.015653
2026-07-19 11:30:00,157.4,157.44,157.33,157.37,1636,0.015177
2026-07-19 11:45:00,157.37,157.68,157.35,157.64,1136,0.015494
2026-07-19 12:00:00,157.64,157.7,157.47,157.54,1027,0.016371
2026-07-19 12:15:00,157.54,157.61,157.52,157.54,1907,0.016486
2026-07-19 12:30:00,157.54,157.58,157.47,157.54,2300,0.014744
2026-07-19 12:45:00,157.54,157.68,157.51,157.62,1234,0.015472
2026-07-19 13:00:00,157.62,157.79,157.57,157.69,774,0.01482
2026-07-19 13:15:00,157.69,157.69,157.6,157.63,1370,0.016788
2026-07-19 13:30:00,157.63,157.75,157.58,157.69,1092,0.014961
2026-07-19 13:45:00,157.69,157.71,157.64,157.66,1803,0.014504
2026-07-19 14:00:00,157.66,157.73,157.53,157.57,1843,0.014139
2026-07-19 14:15:00,157.57,157.6,157.55,157.56,1385,0.015968
2026-07-19 14:30:00,157.56,157.69,157.5,157.61,654,0.015342
2026-07-19 14:45:00,157.61,157.94,157.59,157.93,2234,0.015548
2026-07-19 15:00:00,157.93,158.04,157.89,157.98,1846,0.015112
2026-07-19 15:15:00,157.98,158.02,157.86,157.93,1878,0.014725
2026-07-19 15:30:00,157.93,157.98,157.89,157.95,1692,0.015371
2026-07-19 15:45:00,157.95,158.01,157.82,157.87,1204,0.015622
2026-07-19 16:00:00,157.87,158.01,157.83,157.98,996,0.015836
2026-07-19 16:15:00,157.98,158.23,157.95,158.15,1287,0.015896
2026-07-19 16:30:00,158.15,158.18,158.12,158.17,913,0.014977
2026-07-19 16:45:00,158.17,158.29,158.14,158.26,1294,0.01664
2026-07-19 17:00:00,158.26,158.32,158.25,158.29,2009,0.014778
2026-07-19 17:15:00,158.29,158.42,158.27,158.37,1514,0.015586
2026-07-19 17:30:00,158.37,158.44,158.28,158.34,1684,0.015285
2026-07-19 17:45:00,158.34,158.35,158.3,158.34,1864,0.015814
2026-07-19 18:00:00,158.34,158.49,158.27,158.42,1197,0.01611
2026-07-19 18:15:00,158.42,158.46,158.38,158.42,1081,0.01644
2026-07-19 18:30:00,158.42,158.49,158.35,158.4,1287,0.014438
2026-07-19 18:45:00,158.4,158.42,158.19,158.27,1943,0.016764
2026-07-19 19:00:00,158.27,158.48,158.22,158.4,1806,0.015035
2026-07-19 19:15:00,158.4,158.44,158.29,158.32,1365,0.014022
2026-07-19 19:30:00,158.32,158.43,158.3,158.36,2340,0.01596
2026-07-19 19:45:00,158.36,158.42,158.32,158.35,1316,0.015534
2026-07-19 20:00:00,158.35,158.46,158.32,158.41,1305,0.015584
2026-07-19 20:15:00,158.41,158.69,158.36,158.66,810,0.014446
2026-07-19 20:30:00,158.66,158.66,158.41,158.49,1141,0.015146
