time,currency,event,impact
2026-07-21 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-21 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-21 13:30:00,USD,FOMC Interest Rate Decision,High
2026-07-22 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-22 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-22 13:30:00,USD,FOMC Interest Rate Decision,High
2026-07-23 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-23 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-23 13:30:00,USD,FOMC Interest Rate Decision,High
2026-07-24 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-24 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-24 13:30:00,USD,FOMC Interest Rate Decision,High
2026-07-25 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-25 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-25 13:30:00,USD,FOMC Interest Rate Decision,High
2026-07-26 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-26 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-26 13:30:00,USD,FOMC Interest Rate Decision,High
2026-07-27 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-27 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-27 13:30:00,USD,FOMC Interest Rate Decision,High
2026-07-28 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-28 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-28 13:30:00,USD,FOMC Interest Rate Decision,High
2026-07-29 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-29 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-29 13:30:00,USD,FOMC Interest Rate Decision,High
2026-07-30 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-30 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-30 13:30:00,USD,FOMC Interest Rate Decision,High
2026-07-31 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-07-31 13:30:00,USD,CPI Inflation Rate MoM,High
2026-07-31 13:30:00,USD,FOMC Interest Rate Decision,High
2026-08-01 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-08-01 13:30:00,USD,CPI Inflation Rate MoM,High
2026-08-01 13:30:00,USD,FOMC Interest Rate Decision,High
2026-08-02 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-08-02 13:30:00,USD,CPI Inflation Rate MoM,High
2026-08-02 13:30:00,USD,FOMC Interest Rate Decision,High
2026-08-03 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-08-03 13:30:00,USD,CPI Inflation Rate MoM,High
2026-08-03 13:30:00,USD,FOMC Interest Rate Decision,High
2026-08-04 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-08-04 13:30:00,USD,CPI Inflation Rate MoM,High
2026-08-04 13:30:00,USD,FOMC Interest Rate Decision,High
2026-08-05 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-08-05 13:30:00,USD,CPI Inflation Rate MoM,High
2026-08-05 13:30:00,USD,FOMC Interest Rate Decision,High
2026-08-06 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-08-06 13:30:00,USD,CPI Inflation Rate MoM,High
2026-08-06 13:30:00,USD,FOMC Interest Rate Decision,High
2026-08-07 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-08-07 13:30:00,USD,CPI Inflation Rate MoM,High
2026-08-07 13:30:00,USD,FOMC Interest Rate Decision,High
2026-08-08 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-08-08 13:30:00,USD,CPI Inflation Rate MoM,High
2026-08-08 13:30:00,USD,FOMC Interest Rate Decision,High
2026-08-09 13:30:00,USD,NFP - Non-Farm Payrolls,High
2026-08-09 13:30:00,USD,CPI Inflation Rate MoM,High
2026-08-09 13:30:00,USD,FOMC Interest Rate Decision,High
